 ************************** Initing args for:  DEEP_RANGE_v0   **************************
Iters 200 | Evals 830 | RangeLoss 1.7945178747177124 | ActionLoss 0.07629397511482239 | TotalLoss 9.423941612243652
Iters 400 | Evals 1676 | RangeLoss 1.793660044670105 | ActionLoss 0.07120644301176071 | TotalLoss 8.914270401000977
Iters 600 | Evals 2508 | RangeLoss 1.7917671203613281 | ActionLoss 0.07132656872272491 | TotalLoss 8.924395561218262
Iters 800 | Evals 3373 | RangeLoss 1.7901469469070435 | ActionLoss 0.06968819350004196 | TotalLoss 8.758956909179688
Iters 1000 | Evals 4180 | RangeLoss 1.7906605005264282 | ActionLoss 0.06789759546518326 | TotalLoss 8.58043384552002
Iters 1200 | Evals 5026 | RangeLoss 1.794407606124878 | ActionLoss 0.0671858936548233 | TotalLoss 8.512988090515137
Iters 1400 | Evals 5857 | RangeLoss 1.8025165796279907 | ActionLoss 0.06561122089624405 | TotalLoss 8.363630294799805
Iters 1600 | Evals 6704 | RangeLoss 1.8097048997879028 | ActionLoss 0.06415978074073792 | TotalLoss 8.225696563720703
Iters 1800 | Evals 7544 | RangeLoss 1.8135262727737427 | ActionLoss 0.06249264255166054 | TotalLoss 8.062806129455566
Iters 2000 | Evals 8373 | RangeLoss 1.8181973695755005 | ActionLoss 0.060865238308906555 | TotalLoss 7.904712200164795
Iters 2200 | Evals 9205 | RangeLoss 1.8194745779037476 | ActionLoss 0.05959364026784897 | TotalLoss 7.778811454772949
Iters 2400 | Evals 10022 | RangeLoss 1.8214751482009888 | ActionLoss 0.05795165151357651 | TotalLoss 7.616612911224365
Iters 2600 | Evals 10875 | RangeLoss 1.8232018947601318 | ActionLoss 0.05632546916604042 | TotalLoss 7.455687999725342
Iters 2800 | Evals 11700 | RangeLoss 1.8257331848144531 | ActionLoss 0.05483461171388626 | TotalLoss 7.309113025665283
Iters 3000 | Evals 12510 | RangeLoss 1.828852891921997 | ActionLoss 0.05319992080330849 | TotalLoss 7.14882230758667
Iters 3200 | Evals 13335 | RangeLoss 1.831102967262268 | ActionLoss 0.051856279373168945 | TotalLoss 7.016707897186279
Iters 3400 | Evals 14169 | RangeLoss 1.8322354555130005 | ActionLoss 0.050424277782440186 | TotalLoss 6.874662399291992
Iters 3600 | Evals 14990 | RangeLoss 1.83415687084198 | ActionLoss 0.04895355924963951 | TotalLoss 6.72954797744751
Iters 3800 | Evals 15790 | RangeLoss 1.8359895944595337 | ActionLoss 0.0476062074303627 | TotalLoss 6.596660614013672
Iters 4000 | Evals 16644 | RangeLoss 1.8367557525634766 | ActionLoss 0.04620366543531418 | TotalLoss 6.457217216491699
Iters 4200 | Evals 17463 | RangeLoss 1.8379298448562622 | ActionLoss 0.04513071849942207 | TotalLoss 6.3511128425598145
Iters 4400 | Evals 18319 | RangeLoss 1.8395185470581055 | ActionLoss 0.043896179646253586 | TotalLoss 6.229232311248779
Iters 4600 | Evals 19169 | RangeLoss 1.8399635553359985 | ActionLoss 0.04275558516383171 | TotalLoss 6.11562967300415
Iters 4800 | Evals 20021 | RangeLoss 1.8416625261306763 | ActionLoss 0.04181501269340515 | TotalLoss 6.023287773132324
Iters 5000 | Evals 20838 | RangeLoss 1.8423738479614258 | ActionLoss 0.04082968831062317 | TotalLoss 5.925465106964111
Iters 5200 | Evals 21657 | RangeLoss 1.8435178995132446 | ActionLoss 0.039922766387462616 | TotalLoss 5.8358893394470215
Iters 5400 | Evals 22512 | RangeLoss 1.845126748085022 | ActionLoss 0.03913234546780586 | TotalLoss 5.758481025695801
Iters 5600 | Evals 23311 | RangeLoss 1.8462001085281372 | ActionLoss 0.03837724030017853 | TotalLoss 5.6840434074401855
Iters 5800 | Evals 24138 | RangeLoss 1.8465077877044678 | ActionLoss 0.037663329392671585 | TotalLoss 5.612962245941162
Iters 6000 | Evals 24951 | RangeLoss 1.8474642038345337 | ActionLoss 0.037070922553539276 | TotalLoss 5.554696559906006
Iters 6200 | Evals 25793 | RangeLoss 1.846975326538086 | ActionLoss 0.03649052605032921 | TotalLoss 5.496169567108154
Iters 6400 | Evals 26627 | RangeLoss 1.8470970392227173 | ActionLoss 0.03589273616671562 | TotalLoss 5.436526298522949
Iters 6600 | Evals 27465 | RangeLoss 1.8479533195495605 | ActionLoss 0.03542301431298256 | TotalLoss 5.390397548675537
Iters 6800 | Evals 28297 | RangeLoss 1.8480881452560425 | ActionLoss 0.034757837653160095 | TotalLoss 5.323997497558594
Iters 7000 | Evals 29126 | RangeLoss 1.8484973907470703 | ActionLoss 0.03422614932060242 | TotalLoss 5.271223068237305
Iters 7200 | Evals 29963 | RangeLoss 1.848487377166748 | ActionLoss 0.03362647444009781 | TotalLoss 5.211258888244629
Iters 7400 | Evals 30811 | RangeLoss 1.8487988710403442 | ActionLoss 0.033085886389017105 | TotalLoss 5.157520294189453
Iters 7600 | Evals 31620 | RangeLoss 1.8495944738388062 | ActionLoss 0.03256659582257271 | TotalLoss 5.1063971519470215
Iters 7800 | Evals 32453 | RangeLoss 1.8490135669708252 | ActionLoss 0.032202888280153275 | TotalLoss 5.069447994232178
Iters 8000 | Evals 33263 | RangeLoss 1.8488245010375977 | ActionLoss 0.03168218210339546 | TotalLoss 5.017233848571777
Iters 8200 | Evals 34101 | RangeLoss 1.848994255065918 | ActionLoss 0.031221874058246613 | TotalLoss 4.971365928649902
Iters 8400 | Evals 34930 | RangeLoss 1.84895920753479 | ActionLoss 0.030719218775629997 | TotalLoss 4.921037197113037
Iters 8600 | Evals 35777 | RangeLoss 1.849751591682434 | ActionLoss 0.030213061720132828 | TotalLoss 4.871217727661133
Iters 8800 | Evals 36611 | RangeLoss 1.8499630689620972 | ActionLoss 0.029756145551800728 | TotalLoss 4.825705051422119
Iters 9000 | Evals 37458 | RangeLoss 1.8493858575820923 | ActionLoss 0.029271425679326057 | TotalLoss 4.776607513427734
Iters 9200 | Evals 38286 | RangeLoss 1.8500769138336182 | ActionLoss 0.02887367457151413 | TotalLoss 4.737525939941406
Iters 9400 | Evals 39126 | RangeLoss 1.8505029678344727 | ActionLoss 0.028428446501493454 | TotalLoss 4.693393707275391
Iters 9600 | Evals 39960 | RangeLoss 1.8504661321640015 | ActionLoss 0.027971703559160233 | TotalLoss 4.647665500640869
Iters 9800 | Evals 40785 | RangeLoss 1.8506742715835571 | ActionLoss 0.027634935453534126 | TotalLoss 4.614152908325195
Iters 10000 | Evals 41620 | RangeLoss 1.8511701822280884 | ActionLoss 0.027251604944467545 | TotalLoss 4.576312065124512
Iters 10200 | Evals 42463 | RangeLoss 1.8518012762069702 | ActionLoss 0.026887409389019012 | TotalLoss 4.540541648864746
Iters 10400 | Evals 43314 | RangeLoss 1.8519994020462036 | ActionLoss 0.02648281492292881 | TotalLoss 4.50022554397583
Iters 10600 | Evals 44163 | RangeLoss 1.8527624607086182 | ActionLoss 0.026128990575671196 | TotalLoss 4.4655985832214355
Iters 10800 | Evals 45016 | RangeLoss 1.8528951406478882 | ActionLoss 0.025763416662812233 | TotalLoss 4.429162502288818
Iters 11000 | Evals 45827 | RangeLoss 1.8533124923706055 | ActionLoss 0.02539905533194542 | TotalLoss 4.393123149871826
Iters 11200 | Evals 46645 | RangeLoss 1.8537346124649048 | ActionLoss 0.025044038891792297 | TotalLoss 4.358027935028076
Iters 11400 | Evals 47475 | RangeLoss 1.8540281057357788 | ActionLoss 0.024711566045880318 | TotalLoss 4.325043201446533
Iters 11600 | Evals 48271 | RangeLoss 1.854204535484314 | ActionLoss 0.024361196905374527 | TotalLoss 4.290162563323975
Iters 11800 | Evals 49102 | RangeLoss 1.853913426399231 | ActionLoss 0.024042215198278427 | TotalLoss 4.257930755615234
Iters 12000 | Evals 49941 | RangeLoss 1.8541290760040283 | ActionLoss 0.02372913621366024 | TotalLoss 4.226799011230469
Iters 12200 | Evals 50766 | RangeLoss 1.8541383743286133 | ActionLoss 0.023418061435222626 | TotalLoss 4.195718288421631
Iters 12400 | Evals 51600 | RangeLoss 1.8541440963745117 | ActionLoss 0.023101747035980225 | TotalLoss 4.1641011238098145
Iters 12600 | Evals 52436 | RangeLoss 1.8541481494903564 | ActionLoss 0.022792145609855652 | TotalLoss 4.133162498474121
Iters 12800 | Evals 53266 | RangeLoss 1.8540987968444824 | ActionLoss 0.02250511571764946 | TotalLoss 4.104429244995117
Iters 13000 | Evals 54089 | RangeLoss 1.8545253276824951 | ActionLoss 0.022216089069843292 | TotalLoss 4.075955390930176
Iters 13200 | Evals 54919 | RangeLoss 1.854864239692688 | ActionLoss 0.02191685512661934 | TotalLoss 4.04634428024292
Iters 13400 | Evals 55752 | RangeLoss 1.8549243211746216 | ActionLoss 0.02165450155735016 | TotalLoss 4.020166873931885
Iters 13600 | Evals 56612 | RangeLoss 1.8549712896347046 | ActionLoss 0.02138053998351097 | TotalLoss 3.9928102493286133
Iters 13800 | Evals 57417 | RangeLoss 1.8552110195159912 | ActionLoss 0.021111132577061653 | TotalLoss 3.9661214351654053
Iters 14000 | Evals 58272 | RangeLoss 1.8550044298171997 | ActionLoss 0.020837321877479553 | TotalLoss 3.938532590866089
Iters 14200 | Evals 59092 | RangeLoss 1.855153203010559 | ActionLoss 0.020593132823705673 | TotalLoss 3.9142720699310303
Iters 14400 | Evals 59945 | RangeLoss 1.8551450967788696 | ActionLoss 0.02034439891576767 | TotalLoss 3.8893673419952393
Iters 14600 | Evals 60778 | RangeLoss 1.8549827337265015 | ActionLoss 0.0200943686068058 | TotalLoss 3.8642053604125977
Iters 14800 | Evals 61609 | RangeLoss 1.8548253774642944 | ActionLoss 0.01985744759440422 | TotalLoss 3.8403544425964355
Iters 15000 | Evals 62456 | RangeLoss 1.854634404182434 | ActionLoss 0.019618097692728043 | TotalLoss 3.816227436065674
Iters 15200 | Evals 63295 | RangeLoss 1.854912519454956 | ActionLoss 0.019393879920244217 | TotalLoss 3.794069766998291
Iters 15400 | Evals 64141 | RangeLoss 1.8549365997314453 | ActionLoss 0.019175544381141663 | TotalLoss 3.772264003753662
Iters 15600 | Evals 64972 | RangeLoss 1.8547651767730713 | ActionLoss 0.01895497925579548 | TotalLoss 3.7500274181365967
